479	-196	496	-213	260	363	350	-15	465	226
-233	-216	93	-411	34	484	-40	-136	264	322
-380	419	-223	466	447	284	429	198	179	-392
-75	-271	-185	155	213	-419	150	-17	187	389
-256	-73	-60	-179	-454	345	341	451	-377	-145
-389	420	45	347	-263	-481	-492	450	372	367
-247	194	-322	413	-67	-425	67	329	-138	-113
-27	-404	-365	-234	-351	76	-457	-273	-409	100
-99	201	97	396	135	392	305	12	186	118
-341	191	-20	126	-272	-376	-197	151	288	82
84	85	-172	-303	-105	257	428	-453	400	36
-440	103	340	38	307	-63	39	-202	249	-126
-466	-320	-336	169	-480	-218	488	29	-288	-88
-331	271	-70	456	-298	-451	371	20	-5	336
-407	50	102	120	-493	-450	-102	175	-313	-339
394	-348	-31	-424	-467	-296	262	211	460	403
-9	-174	285	-264	47	236	495	476	-42	99
355	444	-90	-3	18	-26	-14	-323	74	-344
197	-282	294	292	165	-144	-246	51	-384	-71
-465	228	233	-489	-16	-109	-421	369	-33	-150
41	48	254	-180	89	-281	7	-423	436	-173
-371	-277	352	304	266	112	232	54	461	-262
-400	-358	-139	-41	-128	-314	-279	-316	-100	-123
-386	422	-324	78	-134	37	-230	-39	-497	-132
-352	-458	455	359	498	159	-95	-135	32	158
446	-402	286	458	-474	224	426	-137	-38	31
248	315	-436	452	-356	-155	-438	424	-360	385
-127	-315	-464	80	210	-340	383	362	209	469
-378	-428	87	9	-238	-159	60	332	-403	229
-490	-169	-119	386	441	-397	-214	-491	431	196
146	64	92	-391	168	128	184	-290	471	415
-121	-167	-269	407	470	219	397	-265	269	357
-486	272	-267	283	333	101	445	-355	464	15
225	108	-350	-359	435	439	477	278	-363	-112
-160	-232	490	-484	454	237	-289	-198	298	373
-337	-48	337	-475	-101	-32	-148	281	-19	473
192	-36	-85	377	338	382	-499	-177	42	404
81	-44	351	311	-237	-207	-494	472	52	423
-52	-56	-81	-12	358	-483	-153	-171	-287	409
73	325	-433	-142	478	91	-107	-354	500	-62
-449	-209	-91	462	-346	303	63	-476	-206	-104
109	27	161	170	-364	-69	55	310	-443	-170
-115	-154	-231	66	-345	-164	4	68	258	449
299	376	410	316	227	166	-120	370	356	327
-244	-455	33	-66	360	247	-415	-64	-310	195
156	231	-208	-299	-410	-255	-50	-385	-1	94
71	-193	366	-333	-94	222	56	374	467	334
221	-395	-353	-235	-25	28	430	-304	212	319
-280	241	180	-434	443	-342	-414	164	114	134
-80	-58	-394	105	19	-495	-251	245	-459	-217
250	-165	-125	-444	-335	8	342	-390	-24	-416
-445	-97	-87	-347	-192	216	-133	318	475	-11
98	252	-252	79	-18	-176	-37	-361	-146	-278
-175	-446	313	-285	418	206	-276	49	493	-382
65	26	335	-300	-161	96	348	193	177	-368
-124	-429	-470	152	-471	314	-83	246	270	-374
139	-338	-108	116	-168	244	-86	-362	412	-35
387	-163	-417	398	-431	-482	-369	133	145	-96
-76	125	308	-227	-500	-224	346	-10	-201	44
324	-422	-301	62	-74	421	43	24	53	-297
3	-13	378	459	353	-92	-478	361	199	111
-432	-452	-260	-220	234	380	330	-250	-253	-149
-59	-343	59	-334	-249	-437	-448	301	433	291
408	-487	-204	-318	-462	289	-236	-157	171	-498
-294	492	-460	-254	223	30	-21	-82	-379	149
-34	-268	110	381	46	-221	-106	-116	-306	5
-61	-242	-111	-226	276	188	263	321	104	-461
-241	302	136	115	256	190	230	-485	-396	-23
-187	-275	-473	-22	240	-229	255	25	482	-228
153	344	331	-129	-182	172	259	328	-28	61
365	214	127	129	-468	163	83	287	-270	-308
-51	274	-131	309	-183	295	487	239	107	379
-141	390	95	-312	290	58	16	406	-375	140
185	391	-401	-439	148	401	-4	-319	235	-406
106	-140	425	-388	123	-166	-205	-184	388	-57
124	-412	183	-77	-399	-98	434	-381	483	220
205	-200	113	395	132	343	267	-222	-219	75
-293	405	-427	40	-259	-387	-292	-367	427	182
265	138	35	218	-284	-472	141	375	-240	480
178	-463	-55	-328	438	142	297	-326	-366	-307
-447	-418	306	-330	339	86	57	280	-442	-327
312	6	-147	296	-43	147	208	-178	-195	481
-317	-49	-181	-243	-203	-357	77	200	117	-151
261	157	440	-325	-158	-248	181	-93	-469	-286
-79	-199	122	-8	11	279	-479	497	-7	275
162	448	176	-211	277	-372	463	215	174	393
203	-117	293	143	-239	-329	-30	320	-305	2
-118	402	-261	499	-103	-2	268	-349	489	317
10	300	189	202	-456	0	-45	251	69	242
-215	-110	137	485	-383	-488	-393	-398	-373	-441
144	-321	-191	-295	-130	-143	121	-72	14	130
-68	-212	173	-122	238	-477	-6	453	474	414
442	-210	23	354	-274	22	243	131	-257	17
-430	207	-408	253	-156	-302	217	349	160	468
-311	368	-413	154	-89	-266	384	-194	-53	204
-370	323	457	-189	416	-225	-54	88	-47	417
326	282	364	-283	-258	-188	-152	-332	-291	-84
-78	-245	273	70	-435	-162	-420	-405	21	399
-190	167	90	-114	437	119	-496	411	486	491
-46	-309	72	494	1	432	-186	-29	13	-65
